                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.677,                 2.1989,                 1.7119,                0.42148,                 0.3861,                0.30528,                0.14823,                 1.6456,                 1.9777,                 1.6609,               0.070077,              0.0033248,              0.0033248
                      1,                 1.5567,                 1.8387,                 1.5612,                0.33973,                0.37066,                0.23483,                0.10119,                 1.8112,                 2.1771,                 1.7389,               0.040011,              0.0065922,              0.0065922
                      2,                 1.6835,                   1.95,                 1.6387,                0.38268,                0.37452,                0.29658,                0.12483,                 1.8504,                 2.4616,                 1.8498,              0.0098793,              0.0097936,              0.0097936
                      3,                 1.7725,                 2.0451,                  1.685,                0.24882,                0.31274,                0.19177,                0.06611,                 2.0345,                 2.5446,                 2.0413,               0.009703,               0.009703,               0.009703
                      4,                 1.7726,                 2.0044,                 1.7261,                0.31111,                0.40279,                0.25985,                0.09586,                 2.0255,                 2.2984,                 2.0186,               0.009703,               0.009703,               0.009703
                      5,                 1.7892,                 1.9856,                 1.7121,                0.47637,                0.41699,                0.35914,                0.16597,                  1.922,                 2.2501,                 2.0083,               0.009604,               0.009604,               0.009604
                      6,                  1.718,                 1.9221,                 1.6693,                 0.4673,                0.34749,                0.32815,                0.15032,                 1.7917,                 2.2795,                 1.9415,               0.009505,               0.009505,               0.009505
                      7,                 1.6969,                 1.9104,                 1.6678,                 0.4699,                 0.4749,                0.32703,                0.15441,                  1.829,                 2.0639,                 1.9812,               0.009406,               0.009406,               0.009406
                      8,                 1.6919,                 1.8768,                 1.6774,                0.57765,                 0.3861,                0.41559,                0.21712,                 1.7316,                 2.1123,                 1.8782,               0.009307,               0.009307,               0.009307
                      9,                 1.6765,                 1.8792,                 1.6591,                0.48779,                0.37066,                0.38394,                0.20006,                 1.7838,                 2.0008,                 1.8934,               0.009208,               0.009208,               0.009208
